query-1: Esta consulta muestra el numero de reservas que contienen un billete de ida y vuelta por aeropuerto
 departure_airport | num_reservas 
-------------------+--------------
 AAQ               |         1590
 ABA               |          356
 AER               |         3293
 ARH               |          964
 ASF               |          642
 BAX               |          593
 BQS               |          309
 BTK               |          232
 BZK               |          521
 CEK               |         1759
 CNN               |           74
 CSY               |         1940
 DME               |        53347
 EGO               |          183
 ESL               |          171
 GDZ               |          449
 GOJ               |          994
 GRV               |          139
 HMA               |          233
 HTA               |          191
 IJK               |          151
 IKT               |         1848
 KEJ               |          698
 KGD               |         1292
 KGP               |           76
 KHV               |         2323
 KJA               |         3002
 KLF               |          140
 KRR               |         2151
 KUF               |         2094
 KVX               |          100
 KXK               |          256
 KZN               |         1480
 LED               |        13745
 MCX               |          809
 MJZ               |          442
 MMK               |          972
 MQF               |         1509
 MRV               |         2766
 NAL               |          304
 NBC               |          262
 NFG               |           85
 NJC               |          644
 NNM               |          158
 NOJ               |          287
 NOZ               |         1094
 NSK               |          574
 NUX               |          948
 OGZ               |          662
 OMS               |         1351
 OVB               |         7221
 PEE               |         1268
 PES               |          364
 PEZ               |          151
 PKC               |          340
 REN               |          309
 ROV               |         1517
 RTW               |          486
 SCW               |          352
 SGC               |         1226
 SKX               |          268
 SLY               |          594
 STW               |          567
 SVO               |        65756
 SVX               |         7761
 TBW               |          309
 TJM               |         2663
 TOF               |          622
 UFA               |         4416
 ULV               |          103
 URS               |          267
 UUA               |           60
 UUD               |          243
 UUS               |         1154
 VKO               |        29918
 VOG               |          349
 VOZ               |          426
 VVO               |         1975
 YKS               |          929
(79 rows)

